ESTATECODE,SELLINGMARK,WAREHOUSENAME,GRADE,CHEST,NET WT.,INV #,LOT #,M / S,BUY/C,BUYER,,Valuation,UpperValuation,LEAFStandard,INFUSEDRemarks,LiquorRemark,LimitPrice,MinPrice,AskingPrice,PRICE
MF0034,STRATHSPEY,,BOP,10,500,0326R,1,M,T13,TEA TANG LTD,,1650,1670,Clean,Aroma,Quality,0,500,1700,1550
MF0034,STRATHSPEY,,BOP,20,1000,0327R,2,M,T13,TEA TANG LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0034,STRATHSPEY,,BOPF,10,580,0328R,3,M,S23,STASSEN INTERNATIONAL LTD,,1600,1620,Clean,Aroma,Quality,0,500,1650,1650
MF0034,STRATHSPEY,,BOPF,20,1160,0329R,4,M,A23,ADAMEXPO,,1600,1620,Clean,Aroma,Quality,0,500,1650,1650
MF0034,STRATHSPEY,,BOPF,20,1120,0330R,5,M,A8,AKBAR BROTHERS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0034,STRATHSPEY,,BOPF,20,1160,0331R,6,M,CF9,CEYLON FRESH TEAS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1600
MF0034,STRATHSPEY,,BOPF,20,1120,0336R,7,M,E41,EMPIRE TEAS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1550
MF0374,BRUNSWICK,,BOP,20,1000,0308R,8,M,WBB,WALTERS BAY TEAS (PRIVATE) LIMITED,,1550,1570,Clean,Aroma,Quality,0,500,1600,1600
MF0374,BRUNSWICK,,BOPF,20,1160,0303R,9,M,E41,EMPIRE TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0374,BRUNSWICK,,BOPF,20,1160,0305R,10,M,E41,EMPIRE TEAS (PVT) LTD,,1600,1620,Clean,Aroma,Quality,0,500,1650,1550
MF0374,BRUNSWICK,,BOPF,20,1160,0309R,11,M,A23,ADAMEXPO,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0505,GLENUGIE,,BOP,20,1000,0079R,12,M,,,,1500,1520,Clean,Aroma,Quality,0,500,1550,0
MF0505,GLENUGIE,,BOPF,20,1160,0077R,13,M,H65,HERITAGE TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1650
MF0505,GLENUGIE,,BOPF,20,1160,0083R,14,M,E41,EMPIRE TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1600
MF0399,MORAY,,BOP,20,1000,0223R,15,M,,,,1500,1520,Clean,Aroma,Quality,0,500,1550,0
MF0399,MORAY,,BOP,20,1000,0224R,16,M,,,,1500,1520,Clean,Aroma,Quality,0,500,1550,0
MF0399,MORAY,,BOPF,20,1160,0220R,17,M,MO9,MASKELIYA TEA GARDEN CEYLON LTD,,1600,1620,Clean,Aroma,Quality,0,500,1650,1600
MF0399,MORAY,,BOPF,20,1160,0225R,18,M,E41,EMPIRE TEAS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1550
MF0399,MORAY,,PEK,10,480,0222R,19,M,A8,AKBAR BROTHERS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0689,LAXAPANA,,BOP,20,1000,0361R,20,M,S23,STASSEN INTERNATIONAL LTD,,1650,1670,Clean,Aroma,Quality,0,500,1700,1600
MF0689,LAXAPANA,,BOP,20,1000,0362R,21,M,,,,1650,1670,Clean,Aroma,Quality,0,500,1700,0
MF0689,LAXAPANA,,BOPF,20,1160,0363R,22,M,U13,UNION COMMODITIES (PVT) LTD,,1650,1670,Clean,Aroma,Quality,0,500,1700,1700
MF0689,LAXAPANA,,BOPF,20,1160,0364R,23,M,S23,STASSEN INTERNATIONAL LTD,,1650,1670,Clean,Aroma,Quality,0,500,1700,1600
MF0689,LAXAPANA,,BOPF,20,1160,0365R,24,M,S23,STASSEN INTERNATIONAL LTD,,1650,1670,Clean,Aroma,Quality,0,500,1700,1600
MF0689,LAXAPANA,,BOPF,20,1160,0366R,25,M,G14,GEORGE STEUART TEAS (PVT) LTD,,1600,1620,Clean,Aroma,Quality,0,500,1650,1600
MF0689,LAXAPANA,,BOPF,20,1160,0380R,26,M,A23,ADAMEXPO,,1550,1570,Clean,Aroma,Quality,0,500,1600,1600
MF0502,GLENTILT,,BOP,20,1000,0297R,27,M,F69,FINLAYS COLOMBO LIMITED,,1650,1670,Clean,Aroma,Quality,0,500,1700,1550
MF0502,GLENTILT,,BOP,20,1000,0304R,28,M,,,,1650,1670,Clean,Aroma,Quality,0,500,1700,0
MF0502,GLENTILT,,BOPSp,20,960,0302R,29,M,T13,TEA TANG LTD,,1600,1620,Clean,Aroma,Quality,0,500,1650,1600
MF0502,GLENTILT,,BOPF,20,1120,0294R,30,M,C51,CEYLON TEA MARKETING (PVT) LTD,,1650,1670,Clean,Aroma,Quality,0,500,1700,1650
MF0502,GLENTILT,,BOPF,40,2240,0295R,31,M,DB8,DILMAH CEYLON TEA COMPANY PLC,,1650,1670,Clean,Aroma,Quality,0,500,1700,1650
MF0502,GLENTILT,,BOPF,20,1120,0296R,32,M,DB8,DILMAH CEYLON TEA COMPANY PLC,,1600,1620,Clean,Aroma,Quality,0,500,1650,1550
MF0502,GLENTILT,,BOPF,20,1120,0298R,33,M,A8,AKBAR BROTHERS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1550
MF0502,GLENTILT,,BOPF,20,1120,0299R,34,M,E41,EMPIRE TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1500
MF0502,GLENTILT,,BOPF,20,1120,0301R,35,M,R64,RANFER TEAS(PVT)LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1500
MF0502,GLENTILT,,BOPF,20,1120,0303R,36,M,A8,AKBAR BROTHERS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1500
MF0043,ST. CLAIR,,BOP,10,500,0179R,37,M,,,,1550,1570,Clean,Aroma,Quality,0,500,1600,0
MF0043,ST. CLAIR,,BOPF,10,580,0181R,38,M,U69,UNI WORLD TEAS (PVT) LTD,,1600,1620,Clean,Aroma,Quality,0,500,1650,1550
MF0043,ST. CLAIR,,BOPF,20,1160,0183R,39,M,U69,UNI WORLD TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1600,1600
MF1293,LUCKYLAND,,BOP,20,1000,267,40,M,T13,TEA TANG LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1400
MF1293,LUCKYLAND,,BOPSp,10,480,0266R,41,M,T13,TEA TANG LTD,,1450,1470,Clean,Aroma,Quality,0,500,1500,1380
MF1293,LUCKYLAND,,BOPF,10,580,0265R,42,M,MA6,MABROC TEAS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1500
MF1293,LUCKYLAND,,BOPF,20,1160,0268R,43,M,SCL,SUNSHINE CONSUMER LANKA LIMITED,,1500,1520,Clean,Aroma,Quality,0,500,1550,1460
MF0739,KIRKLEES,,BOP,20,960,0244R,44,M,T13,TEA TANG LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1500
MF0739,KIRKLEES,,BOP,10,480,0249R,45,M,MA6,MABROC TEAS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1600
MF0739,KIRKLEES,,BOPSp,20,960,247,46,M,T13,TEA TANG LTD,,1450,1470,Clean,Aroma,Quality,0,500,1500,1380
MF0739,KIRKLEES,,BOPF,20,1120,243,47,M,U76,UNILEVER LIPTON CEYLON LIMITED,,1500,1520,Clean,Aroma,Quality,0,500,1550,1460
MF0739,KIRKLEES,,BOPF,10,560,0245R,48,M,U69,UNI WORLD TEAS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,500,1550,1600
MF0105,CANNAVARELLA,,BOPSp,20,960,0240R,49,M,S23,STASSEN INTERNATIONAL LTD,,1300,1320,Clean,Aroma,Quality,0,500,1350,1460
MF0105,CANNAVARELLA,,BOPF,20,1160,0241R,50,M,U76,UNILEVER LIPTON CEYLON LIMITED,,1200,1220,Clean,Aroma,Quality,0,500,1250,1280
MF0105,CANNAVARELLA,,BOPF,20,1160,0242R,51,M,E41,EMPIRE TEAS (PVT) LTD,,1150,1170,Clean,Aroma,Quality,0,500,1200,1260
MF0895,DOTEL OYA,E.B. STORES,BOPF,10,560,289,251,M,MT2,MCCOY CEYLON COMMODITIES (PVT) LTD,,950,970,Bold,Mixed,Plain,0,400,970,1020
MF0895,DOTEL OYA,E.B. STORES,FBOPF,10,500,295,252,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1600
MF0895,DOTEL OYA,E.B. STORES,FBOPF1,10,450,290,253,M,I36,INTER TEA (PVT) LTD,,2000,2020,Clean,Aroma,Quality,0,500,2020,2000
MF0895,DOTEL OYA,E.B. STORES,FBOPF1,10,450,0291R,254,M,I36,INTER TEA (PVT) LTD,,1950,1970,Clean,Aroma,Quality,0,500,1970,1900
MF0895,DOTEL OYA,E.B. STORES,FBOPF1,10,400,0292R,255,M,,,,1250,1270,Bold,Mixed,Plain,0,500,1270,0
MF0895,DOTEL OYA,E.B. STORES,FBOP,10,400,0288R,256,M,S33,STASSEN EXPORTS LTD,,1500,1520,Clean,Aroma,Quality,0,500,1520,1800
MF0895,DOTEL OYA,E.B. STORES,FBOP,10,420,0293R,257,M,CETP,CETCO TEAS (PVT) LIMITED,,1800,1820,Clean,Aroma,Quality,0,500,1820,1900
MF0895,DOTEL OYA,E.B. STORES,FBOP1,10,360,0287R,258,M,CETP,CETCO TEAS (PVT) LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1650
MF0895,DOTEL OYA,E.B. STORES,PEK1,10,380,0294R,259,M,V67,VENTURE TEA (PVT) LTD,,1850,1870,Clean,Aroma,Quality,0,500,1870,2050
MF0895,DOTEL OYA,E.B. STORES,BOP1,10,360,0286R,260,M,V67,VENTURE TEA (PVT) LTD,,1600,1620,Bold,Mixed,Plain,0,500,1620,1700
MF0895,DOTEL OYA,E.B. STORES,BOPA,20,720,283,261,M,BCTP,BARARI CEYLON TEAS (PVT) LTD,,880,900,,,,0,400,900,890
MF0148B,GALGEWATTA,E.B. STORES,FBOPF1,10,480,1190,262,M,I36,INTER TEA (PVT) LTD,,2000,2020,Clean,Aroma,Quality,0,500,2020,1950
MF0148B,GALGEWATTA,E.B. STORES,FBOPF1,10,460,1194,263,M,S33,STASSEN EXPORTS LTD,,1350,1370,Bold,Mixed,Plain,0,500,1370,1700
MF0148B,GALGEWATTA,E.B. STORES,FBOPF1,10,440,1197,264,M,I36,INTER TEA (PVT) LTD,,2000,2020,Clean,Aroma,Quality,0,500,2020,1900
MF0148B,GALGEWATTA,E.B. STORES,FBOP,10,350,1191,265,M,MA6,MABROC TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1570,1550
MF0148B,GALGEWATTA,E.B. STORES,FBOP,10,420,1198,266,M,,,,2100,2120,Clean,Aroma,Quality,0,500,2120,0
MF0148B,GALGEWATTA,E.B. STORES,FBOP1,10,400,1210,267,M,A8,AKBAR BROTHERS (PVT) LTD,,1350,1370,Bold,Mixed,Plain,0,500,1370,1260
MF0148B,GALGEWATTA,E.B. STORES,PEK,20,640,1189,268,M,V67,VENTURE TEA (PVT) LTD,,1250,1270,Bold,Mixed,Plain,0,500,1270,1700
MF0148B,GALGEWATTA,E.B. STORES,OP1,10,350,1207,269,M,CETP,CETCO TEAS (PVT) LIMITED,,1800,1820,Clean,Aroma,Quality,0,500,1820,1800
MF0148B,GALGEWATTA,E.B. STORES,OP,20,500,1188,270,M,V67,VENTURE TEA (PVT) LTD,,750,770,Blackish,Dark,Dull,0,380,770,940
MF0148B,GALGEWATTA,E.B. STORES,OPA,10,260,1155,271,M,AE5,ANVERALLY & SONS (PVT) LTD,,870,890,Bold,Mixed,Plain,0,400,890,810
MF0148B,GALGEWATTA,E.B. STORES,OPA,20,480,1200,272,M,AE5,ANVERALLY & SONS (PVT) LTD,,900,920,Bold,Mixed,Plain,0,400,920,890
MF0148B,GALGEWATTA,E.B. STORES,OPA,20,500,1203,273,M,AE5,ANVERALLY & SONS (PVT) LTD,,850,870,Bold,Mixed,Plain,0,400,870,820
MF0148B,GALGEWATTA,E.B. STORES,BOPA,10,330,1187,274,M,U69,UNI WORLD TEAS (PVT) LTD,,860,880,,,,0,400,880,870
MF0148B,GALGEWATTA,E.B. STORES,FBOP,10,357,1117,275,M,CETP,CETCO TEAS (PVT) LIMITED,,2000,2020,Clean,Aroma,Quality,0,500,2020,2000
MF0817,WERALLAKANDA,E.B. STORES,BOPF,10,530,755,276,M,V3,VAN REES (CEY)LTD.,,850,870,Bold,Mixed,Plain,0,400,870,750
MF0817,WERALLAKANDA,E.B. STORES,FBOPF,10,460,756,277,M,U13,UNION COMMODITIES (PVT) LTD,,1850,1870,Clean,Aroma,Quality,0,500,1870,1700
MF0817,WERALLAKANDA,E.B. STORES,FBOPF1,10,400,750,278,M,,,,950,970,Bold,Mixed,Plain,0,400,970,0
MF0817,WERALLAKANDA,E.B. STORES,OP,10,220,753,279,M,V67,VENTURE TEA (PVT) LTD,,850,870,Bold,Mixed,Plain,0,400,870,840
MF0817,WERALLAKANDA,E.B. STORES,FBOP,20,637,725,280,M,T60,TEA TRENDS EXP (PVT) LTD,,900,920,Bold,Mixed,Plain,0,400,920,860
MF0817,WERALLAKANDA,E.B. STORES,FBOP,20,637,727,281,M,AE5,ANVERALLY & SONS (PVT) LTD,,920,940,Bold,Mixed,Plain,0,400,940,890
MF0156,UVA HIGHLANDS,MALWATTE VALLEY WAREHOUSE,BOPA,20,680,0897R,282,M,C51,CEYLON TEA MARKETING (PVT) LTD,,770,790,,,,0,380,790,810
MF0581,AISLABY,MALWATTE VALLEY WAREHOUSE,BOPF,10,550,0908R,283,M,MT2,MCCOY CEYLON COMMODITIES (PVT) LTD,,920,940,Bold,Mixed,Plain,0,400,940,960
MF0581,AISLABY,MALWATTE VALLEY WAREHOUSE,FBOP1,10,317,0876R,284,M,T4,TEA-LINK COLOMBO (PVT) LTD,,1100,1120,Bold,Mixed,Plain,0,500,1120,1220
MF0292,POONAGALLA,E.B. STORES,BOPSp,10,460,0506R,285,M,U69,UNI WORLD TEAS (PVT) LTD,,870,890,Bold,Mixed,Plain,0,400,890,830
MF0292,POONAGALLA,E.B. STORES,BOPF,20,1040,0507R,286,M,E41,EMPIRE TEAS (PVT) LTD,,850,870,Bold,Mixed,Plain,0,400,870,820
MF0292,POONAGALLA,E.B. STORES,FBOPF,10,500,0504R,287,M,,,,1200,1220,Bold,Mixed,Plain,0,500,1220,0
MF0292,POONAGALLA,E.B. STORES,FBOPF1,10,420,0502R,288,M,I36,INTER TEA (PVT) LTD,,1150,1200,Bold,Mixed,Plain,0,500,1200,1340
MF0292,POONAGALLA,E.B. STORES,FBOP,10,350,0492R,289,M,SA1,SAMLEY TEAS (PVT) LTD,,1100,1120,Bold,Mixed,Plain,0,500,1120,1020
MF0292,POONAGALLA,E.B. STORES,FBOP,10,360,0498R,290,M,,,,950,970,Bold,Mixed,Plain,0,400,970,0
MF0292,POONAGALLA,E.B. STORES,FBOP,10,420,0503R,291,M,S33,STASSEN EXPORTS LTD,,1650,1670,Clean,Aroma,Quality,0,500,1670,1650
MF0292,POONAGALLA,E.B. STORES,PEK,10,380,0500R,292,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1800
MF0292,POONAGALLA,E.B. STORES,BOP1,10,320,0505R,293,M,T4,TEA-LINK COLOMBO (PVT) LTD,,1000,1020,Blackish,Dark,Dull,0,500,1020,1000
MF0292,POONAGALLA,E.B. STORES,OP1,10,320,0508R,294,M,T4,TEA-LINK COLOMBO (PVT) LTD,,1300,1320,Clean,Aroma,Quality,0,500,1320,1300
MF0292,POONAGALLA,E.B. STORES,OP,20,520,0487R,295,M,AE5,ANVERALLY & SONS (PVT) LTD,,900,920,Bold,Mixed,Plain,0,400,920,1400
MF0292,POONAGALLA,E.B. STORES,OPA,10,260,0501R,296,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1300,1320,Clean,Aroma,Quality,0,500,1320,1550
MF0292,POONAGALLA,E.B. STORES,BOPA,10,320,0486R,297,M,AE5,ANVERALLY & SONS (PVT) LTD,,720,740,,,,0,380,740,820
MF0292,POONAGALLA,E.B. STORES,FBOP,10,317,0458R,298,M,,,,1100,1120,Bold,Mixed,Plain,0,500,1120,0
MF0388,GAMPAHA,E.B. STORES,BOP,10,500,0347R,299,M,MT2,MCCOY CEYLON COMMODITIES (PVT) LTD,,850,870,Bold,Mixed,Plain,0,400,870,890
MF0388,GAMPAHA,E.B. STORES,FBOPF1,10,380,0348R,300,M,SA1,SAMLEY TEAS (PVT) LTD,,1100,1120,Bold,Mixed,Plain,0,500,1120,1180
MF0388,GAMPAHA,E.B. STORES,FBOP,10,420,0349R,301,M,MO6,MUBARAK TRADING COMPANY,,1800,1820,Clean,Aroma,Quality,0,500,1820,1850
MF0388,GAMPAHA,E.B. STORES,PEK,10,350,0346R,302,M,CETP,CETCO TEAS (PVT) LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1750
MF0388,GAMPAHA,E.B. STORES,PEK,10,280,0350R,303,M,AE5,ANVERALLY & SONS (PVT) LTD,,800,820,Blackish,Dark,Dull,0,400,820,890
MF0388,GAMPAHA,E.B. STORES,BOP1,10,380,0345R,304,M,CETP,CETCO TEAS (PVT) LIMITED,,1650,1670,Clean,Aroma,Quality,0,500,1670,1650
MF0388,GAMPAHA,E.B. STORES,OPA,10,260,0344R,305,M,RA7,REGENCY TEAS [PVT] LTD.,,950,970,Bold,Mixed,Plain,0,400,970,1180
MF0388,GAMPAHA,E.B. STORES,BOPA,10,330,0351R,306,M,AE5,ANVERALLY & SONS (PVT) LTD,,720,740,,,,0,380,740,790
MF0494,AMPITTIAKANDE,E.B. STORES,FBOPF1,10,480,0538R,307,M,INF,INFUSION COLOMBO (PVT) LTD,,1600,1620,Clean,Aroma,Quality,0,500,1620,1340
MF0494,AMPITTIAKANDE,E.B. STORES,FBOP,10,350,0527R,308,M,MO6,MUBARAK TRADING COMPANY,,1150,1170,Bold,Mixed,Plain,0,500,1170,1120
MF0494,AMPITTIAKANDE,E.B. STORES,FBOP,10,330,0533R,309,M,MO6,MUBARAK TRADING COMPANY,,1750,1770,Clean,Aroma,Quality,0,500,1770,1900
MF0494,AMPITTIAKANDE,E.B. STORES,PEK,10,280,0528R,310,M,S23,STASSEN INTERNATIONAL LTD,,800,820,Blackish,Dark,Dull,0,400,820,860
MF0494,AMPITTIAKANDE,E.B. STORES,PEK,10,350,0539R,311,M,CETP,CETCO TEAS (PVT) LIMITED,,1800,1820,Clean,Aroma,Quality,0,500,1820,1900
MF0494,AMPITTIAKANDE,E.B. STORES,OP1,10,270,0530R,312,M,A8,AKBAR BROTHERS (PVT) LTD,,950,970,Bold,Mixed,Plain,0,400,970,940
MF0494,AMPITTIAKANDE,E.B. STORES,OP,10,270,0522R,313,M,,,,1300,1350,Clean,Aroma,Quality,0,500,1350,0
MF0494,AMPITTIAKANDE,E.B. STORES,OP,10,300,0534R,314,M,CETP,CETCO TEAS (PVT) LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1650
MF0494,AMPITTIAKANDE,E.B. STORES,OP,10,250,0537R,315,M,,,,800,820,Bold,Mixed,Plain,0,400,820,0
MF0494,AMPITTIAKANDE,E.B. STORES,OPA,10,240,0507R,316,M,AE5,ANVERALLY & SONS (PVT) LTD,,740,760,Blackish,Dark,Dull,0,380,760,810
MF0494,AMPITTIAKANDE,E.B. STORES,OPA,10,280,0536R,317,M,MO6,MUBARAK TRADING COMPANY,,1300,1320,Clean,Aroma,Quality,0,500,1320,1550
MF0494,AMPITTIAKANDE,E.B. STORES,BOPA,10,350,0514R,318,M,AE5,ANVERALLY & SONS (PVT) LTD,,720,740,,,,0,380,740,790
MF0683,CRAIG,E.B. STORES,FBOPF1,10,380,0762R,319,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1900,1920,Clean,Aroma,Quality,0,500,1920,1800
MF0683,CRAIG,E.B. STORES,FBOP,10,340,0763R,320,M,CETP,CETCO TEAS (PVT) LIMITED,,1950,1970,Clean,Aroma,Quality,0,500,1970,1950
MF0683,CRAIG,E.B. STORES,FBOP,10,320,0764R,321,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1250,1270,Bold,Mixed,Plain,0,500,1270,1420
MF0683,CRAIG,E.B. STORES,PEK,10,300,0765R,322,M,J2,JAFFERJEE BROS,,2000,2020,Clean,Aroma,Quality,0,500,2020,2000
MF0683,CRAIG,E.B. STORES,PEK,10,300,0766R,323,M,V67,VENTURE TEA (PVT) LTD,,1650,1670,Clean,Aroma,Quality,0,500,1670,1850
MF0683,CRAIG,E.B. STORES,OP,10,230,0760R,324,M,SK5,SUPREME CEYLON TEAS (PVT) LTD,,1650,1670,Clean,Aroma,Quality,0,500,1670,1650
MF0683,CRAIG,E.B. STORES,OPA,10,260,0759R,325,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1550,1570,Clean,Aroma,Quality,0,500,1570,1600
MF0683,CRAIG,E.B. STORES,OPA,10,230,0761R,326,M,I29,IMPERIAL TEAS (PVT) LIMITED,,900,920,Bold,Mixed,Plain,0,400,920,1260
MF0683,CRAIG,E.B. STORES,BOPA,10,360,0736R,327,M,G14,GEORGE STEUART TEAS (PVT) LTD,,750,770,,,,0,380,770,850
MF0243,KINELLAN,E.B. STORES,BOPF,10,550,0438R,328,M,MT2,MCCOY CEYLON COMMODITIES (PVT) LTD,,760,780,Bold,Mixed,Plain,0,380,780,800
MF0243,KINELLAN,E.B. STORES,FBOP,10,370,0431R,329,M,T4,TEA-LINK COLOMBO (PVT) LTD,,1100,1120,Bold,Mixed,Plain,0,500,1120,1040
MF0243,KINELLAN,E.B. STORES,FBOP,10,380,0440R,330,M,CETP,CETCO TEAS (PVT) LIMITED,,1850,1870,Clean,Aroma,Quality,0,500,1870,1700
MF0243,KINELLAN,E.B. STORES,PEK,10,360,0441R,331,M,V67,VENTURE TEA (PVT) LTD,,1700,1720,Clean,Aroma,Quality,0,500,1720,1850
MF0243,KINELLAN,E.B. STORES,PEK1,10,400,0444R,332,M,J2,JAFFERJEE BROS,,1600,1620,Bold,Mixed,Plain,0,500,1620,2000
MF0243,KINELLAN,E.B. STORES,OP1,10,320,0436R,333,M,T4,TEA-LINK COLOMBO (PVT) LTD,,1100,1120,Bold,Mixed,Plain,0,500,1120,1240
MF0243,KINELLAN,E.B. STORES,OP,10,280,434,334,M,,,,1100,1120,Bold,Mixed,Plain,0,500,1120,0
MF0243,KINELLAN,E.B. STORES,OP,10,280,0443R,335,M,MA6,MABROC TEAS (PVT) LTD,,1550,1570,Clean,Aroma,Quality,0,500,1570,1550
MF0243,KINELLAN,E.B. STORES,OPA,10,280,0433R,336,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1400,1500,Clean,Aroma,Quality,0,500,1500,1600
MF0243,KINELLAN,E.B. STORES,OPA,10,240,0437R,337,M,RA7,REGENCY TEAS [PVT] LTD.,,950,1000,Bold,Mixed,Plain,0,500,1000,1360
MF0243,KINELLAN,E.B. STORES,OPA,10,210,439,338,M,AE5,ANVERALLY & SONS (PVT) LTD,,760,780,Bold,Mixed,Plain,0,380,780,800
MF0243,KINELLAN,E.B. STORES,BOPA,10,380,445,339,M,H65,HERITAGE TEAS (PVT) LTD,,900,920,,,,0,400,920,880
MF0234,GONAKELLE,E.B. STORES,BOPF,10,500,0579R,340,M,A8,AKBAR BROTHERS (PVT) LTD,,780,800,Bold,Mixed,Plain,0,400,800,810
MF0234,GONAKELLE,E.B. STORES,FBOPF1,10,480,0586R,341,M,I36,INTER TEA (PVT) LTD,,1850,1870,Clean,Aroma,Quality,0,500,1870,1900
MF0234,GONAKELLE,E.B. STORES,FBOPF1,10,480,0587R,342,M,I36,INTER TEA (PVT) LTD,,1150,1170,Bold,Mixed,Plain,0,500,1170,1700
MF0234,GONAKELLE,E.B. STORES,FBOP,10,400,0575R,343,M,CETP,CETCO TEAS (PVT) LIMITED,,1800,1820,Clean,Aroma,Quality,0,500,1820,1700
MF0234,GONAKELLE,E.B. STORES,FBOP,10,380,0576R,344,M,SHM,SHARON MARKETING (PVT) LTD,,1000,1020,Bold,Mixed,Plain,0,500,1020,980
MF0234,GONAKELLE,E.B. STORES,FBOP1,10,360,0596R,345,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1550,1600,Clean,Aroma,Quality,0,500,1600,1440
MF0234,GONAKELLE,E.B. STORES,PEK,10,300,0598R,346,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1600,1620,Clean,Aroma,Quality,0,500,1620,1850
MF0234,GONAKELLE,E.B. STORES,PEK1,10,380,0584R,347,M,CH9,CEYLON TEA EXPORT,,1700,1720,Clean,Aroma,Quality,0,500,1720,1850
MF0234,GONAKELLE,E.B. STORES,OP1,10,320,0574R,348,M,T4,TEA-LINK COLOMBO (PVT) LTD,,1100,1120,Bold,Mixed,Plain,0,500,1120,1360
MF0234,GONAKELLE,E.B. STORES,OP,10,280,573,349,M,,,,780,800,Blackish,Dark,Dull,0,400,800,0
MF0234,GONAKELLE,E.B. STORES,OP,10,300,0583R,350,M,,,,1200,1220,Clean,Aroma,Quality,0,500,1220,0
MF0234,GONAKELLE,E.B. STORES,OP,10,300,0590R,351,M,MA6,MABROC TEAS (PVT) LTD,,1450,1470,Clean,Aroma,Quality,0,500,1470,1600
MF0234,GONAKELLE,E.B. STORES,OPA,20,500,0577R,352,M,RA7,REGENCY TEAS [PVT] LTD.,,1300,1320,Clean,Aroma,Quality,0,500,1320,1500
MF0234,GONAKELLE,E.B. STORES,OPA,20,460,0578R,353,M,BCTP,BARARI CEYLON TEAS (PVT) LTD,,750,770,Blackish,Dark,Dull,0,380,770,800
MF0234,GONAKELLE,E.B. STORES,OPA,20,520,0592R,354,M,CETP,CETCO TEAS (PVT) LIMITED,,1350,1370,Clean,Aroma,Quality,0,500,1370,1400
MF0668,HINDAGALA,E.B. STORES,BOPSp,10,420,0617R,355,M,WBB,WALTERS BAY TEAS (PRIVATE) LIMITED,,1350,1370,Clean,Aroma,Quality,0,500,1370,1300
MF0668,HINDAGALA,E.B. STORES,BOPF,10,520,0592R,356,M,MT2,MCCOY CEYLON COMMODITIES (PVT) LTD,,730,750,Blackish,Dark,Dull,0,380,750,950
MF0668,HINDAGALA,E.B. STORES,FBOPF1,10,420,0618R,357,M,INF,INFUSION COLOMBO (PVT) LTD,,1450,1500,Clean,Aroma,Quality,0,500,1500,1300
MF0668,HINDAGALA,E.B. STORES,FBOPF1,10,380,0619R,358,M,A8,AKBAR BROTHERS (PVT) LTD,,750,770,Blackish,Dark,Dull,0,380,770,770
MF0668,HINDAGALA,E.B. STORES,FBOP,10,380,0614R,359,M,S33,STASSEN EXPORTS LTD,,1700,1720,Clean,Aroma,Quality,0,500,1720,1700
MF0668,HINDAGALA,E.B. STORES,FBOP,10,330,0615R,360,M,,,,850,870,Bold,Mixed,Plain,0,400,870,0
MF0668,HINDAGALA,E.B. STORES,PEK1,10,360,0616R,361,M,CI8,CEYLON PLANTATIONS INTERNATIONAL (PVT) LTD,,1750,1770,Clean,Aroma,Quality,0,500,1770,1700
MF0668,HINDAGALA,E.B. STORES,BOPA,10,300,0579R,362,M,,,,740,760,,,,0,380,760,0
MF0668,HINDAGALA,E.B. STORES,OP1,10,317,0433R,363,M,A8,AKBAR BROTHERS (PVT) LTD,,1100,1120,Bold,Mixed,Plain,0,500,1120,1140
