ESTATECODE,SELLINGMARK,WAREHOUSENAME,GRADE,CHEST,NET WT.,INV #,LOT #,M / S,BUY/C,BUYER,,Valuation,UpperValuation,LEAFStandard,INFUSEDRemarks,LiquorRemark,LimitPrice,MinPrice,AskingPrice,PRICE
MF0668,HINDAGALA,E.B. STORES,BOP1,10,300,720,348,M,OCTA,OCTAGON TEAS PVT LTD,,1400,1420,Bold,Mixed,Plain,0,500,1420,1200
MF0668,HINDAGALA,E.B. STORES,OP,10,280,719,349,M,MA6,MABROC TEAS (PVT) LTD,,1450,1470,Clean,Aroma,Quality,0,500,1470,1300
MF0668,HINDAGALA,E.B. STORES,OPA,10,280,698,350,M,RA7,REGENCY TEAS [PVT] LTD.,,1450,1470,Clean,Aroma,Quality,0,500,1470,1280
MF0668,HINDAGALA,E.B. STORES,OPA,20,440,0710R,351,M,S8,SUPERFINE TEAS (PVT) LTD,,1350,1370,Clean,Aroma,Quality,0,500,1370,1120
MF0668,HINDAGALA,E.B. STORES,BOPA,20,600,0595R,352,M,OCTA,OCTAGON TEAS PVT LTD,,850,870,,,,0,400,870,730
MF0655,BADDEGAMA,E.B. STORES,OP1,10,330,419,353,M,I29,IMPERIAL TEAS (PVT) LIMITED,,1750,1770,Clean,Aroma,Quality,0,850,1850,1600
MF0655,BADDEGAMA,E.B. STORES,OP,10,280,416,354,M,S33,STASSEN EXPORTS LTD,,1650,1670,Clean,Aroma,Quality,0,750,1750,1600
MF0655,BADDEGAMA,E.B. STORES,OP,10,260,417,355,M,,,,1400,1420,Clean,Aroma,Quality,0,650,1500,0
MF0655,BADDEGAMA,E.B. STORES,OPA,20,400,386,356,M,,,,1350,1370,Clean,Aroma,Quality,0,600,1450,0
MF0655,BADDEGAMA,E.B. STORES,OPA,10,290,415,357,M,S33,STASSEN EXPORTS LTD,,1650,1670,Clean,Aroma,Quality,0,750,1750,1600
MF0353,YATADERIYA,E.B. STORES,OP1,10,340,733,358,M,A8,AKBAR BROTHERS (PVT) LTD,,1900,1920,Clean,Aroma,Quality,0,1000,2000,1800
MF0353,YATADERIYA,E.B. STORES,OP,10,280,737,359,M,F73,FRESH TEA EXPORTS (PVT) LTD,,1350,1370,Clean,Aroma,Quality,0,600,1450,1100
MF0353,YATADERIYA,E.B. STORES,OP,10,330,746,360,M,LA3,LOLC HOLDINGS PLC,,1750,1770,Clean,Aroma,Quality,0,850,1850,1500
MF0353,YATADERIYA,E.B. STORES,OPA,10,220,735,361,M,CF9,CEYLON FRESH TEAS (PVT) LTD,,1300,1320,Clean,Aroma,Quality,0,600,1400,1100
MF0353,YATADERIYA,E.B. STORES,OPA,10,280,742,362,M,F69,FINLAYS COLOMBO LIMITED,,1700,1720,Clean,Aroma,Quality,0,800,1800,1650
MF0353,YATADERIYA,E.B. STORES,OPA,10,240,0749R,363,M,A8,AKBAR BROTHERS (PVT) LTD,,1400,1420,Clean,Aroma,Quality,0,650,1500,1280
MF1362,CHANDRA ELIYA,E.B. STORES,PEK1,10,397,507,364,M,S33,STASSEN EXPORTS LTD,,1750,1770,Clean,Aroma,Quality,0,850,1850,1600
MF0655,BADDEGAMA,E.B. STORES,PEK,10,340,411,365,M,E41,EMPIRE TEAS (PVT) LTD,,2000,2020,Clean,Aroma,Quality,0,1050,2100,1800
MF0655,BADDEGAMA,E.B. STORES,PEK,10,280,412,366,M,E41,EMPIRE TEAS (PVT) LTD,,1300,1320,Bold,Mixed,Plain,0,600,1400,1100
MF0353,YATADERIYA,E.B. STORES,PEK,10,360,0743R,367,M,SQ4,SHAN TEAS (PVT) LTD,,2000,2020,Clean,Aroma,Quality,0,1050,2100,1800
MF0353,YATADERIYA,E.B. STORES,PEK,10,300,744,368,M,F75,FORTHRIGHT TEAS (PVT) LTD,,1500,1520,Clean,Aroma,Quality,0,650,1600,1240
MF0353,YATADERIYA,E.B. STORES,PEK1,10,380,739,369,M,LA3,LOLC HOLDINGS PLC,,1900,1920,Clean,Aroma,Quality,0,1000,2000,1700
MF0353,YATADERIYA,E.B. STORES,PEK1,10,300,745,370,M,MG1,MALWATTE VALLEY PLANTATION PLC,,1850,1870,Clean,Aroma,Quality,0,900,1950,1700
MF0655,BADDEGAMA,E.B. STORES,FBOP,10,450,413,371,M,,,,1500,1520,Clean,Aroma,Quality,0,650,1600,0
MF0655,BADDEGAMA,E.B. STORES,FBOP,10,330,414,372,M,,,,1100,1120,Bold,Mixed,Plain,0,550,1200,0
MF0353,YATADERIYA,E.B. STORES,FBOPF,10,500,747,373,M,,,,1100,1120,Bold,Mixed,Plain,0,550,1200,0
MF0353,YATADERIYA,E.B. STORES,FBOPF1,10,500,731,374,M,,,,1550,1570,Clean,Aroma,Quality,0,650,1650,0
MF0353,YATADERIYA,E.B. STORES,FBOPF1,10,400,0732R,375,M,,,,1350,1370,Bold,Mixed,Plain,0,600,1450,0
MF0353,YATADERIYA,E.B. STORES,FBOP,10,380,740,376,M,MG1,MALWATTE VALLEY PLANTATION PLC,,1500,1520,Clean,Aroma,Quality,0,650,1600,1240
